id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
2020602;DISEÑO DE SOFTWARE;O;4;;49
2020603;INVESTIGACIÓN DE OPERACIONES I;O;4;;49
2020604;SISTEMAS OPERATIVOS;O;4;;49
2020605;CONTABILIDAD DE GESTIÓN;O;3;;49
2020606;IDIOMA EXTRANJERO VI;O;3;;49
2020701;ARQUITECTURA DE SOFTWARE;O;4;;50
2020702;TALLER DE CONSTRUCCION DE SOFTWARE;O;4;;50
2020703;INVESTIGACION DE OPERACIONES II;O;4;;50
2020704;REDES Y TRANSMISION DE DATOS;O;4;;50
2020705;GERENCIA DE PROYECTO DE SOFTWARE;O;4;;50
2020801;INTELIGENCIA ARTIFICIAL;O;4;;51
2020802;PRUEBA DE SOFTWARE;O;4;;51
2020803;CALIDAD DE SOFTWARE;O;4;;51
2020804;SEGURIDAD DE REDES;O;4;;51
2020805;GESTIÓN DE TECNOLOGIAS DE LA INFORMACIÓN;O;4;;51
2020901;ETICA PROFESIONAL;O;3;;52
2020902;GESTIÓN DE CONFIGURACIÓN Y MANTENIMIENTO;O;4;;52
2020903;SISTEMAS INTELIGENTES;O;4;;52
2020904;PROYECTO DE TESIS I;O;6;;52
2020905;FINANZAS PARA GESTIÓN;O;4;;52
2021001;INTELIGENCIA DE NEGOCIOS;O;4;;53
2021002;PROYECTO DE TESIS II;O;6;;53
2021003;TENDENCIAS EN GESTION EMPRESARIAL;O;3;;53
2021004;TENDENCIAS EN INGENIERIA DE SOFTWARE;O;3;;53
2021005;CREATIVIDAD Y LIDERAZGO;O;2;;53
2020798;E-BUSSINES;E;3;;43
2020799;DATAWAREHOUSE;E;3;;43
2020898;PLANEAMIENTO DE RECURSOS EMPRESARIALES;E;3;;43
2020899;DISEÑO DE APLICACIONES WEB;E;3;;43
2021098;ROBOTICA;E;3;;43
2021099;REDES NEURONALES;E;3;;43
20W0101;INTRODUCCIÓN A LA COMPUTACIÓN;O;4;;55
20W0102;CÁLCULO I;O;4;;55
20W0103;ESTRATEGIAS DE APRENDIZAJE E INVESTIGACIÓN;O;2;;55
20W0104;MATEMÁTICA BÁSICA I;O;4;;55
20W0105;COMUNICACIÓN Y DINÁMICA DE GRUPO;O;2;;55
20W0106;ÉTICA DE LA PROFESIÓN;O;2;;55
20W0107;TEORÍA GENERAL DE SISTEMAS;O;3;;55
20W0201;ALGORÍTMICA I;O;4;;56
20W0202;ECONOMÍA;O;2;;56
20W0203;CÁLCULO II;O;4;;56
20W0204;MATEMÁTICA BÁSICA II;O;4;;56
20W0205;FÍSICA GENERAL I;O;4;;56
20W0206;CREATIVIDAD Y LIDERAZGO;O;2;;56
20W0207;REALIDAD NACIONAL;O;2;;56
20W0301;ALGORÍTMICA II;O;4;;57
