id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
445;15200241;22;TO ;RD126-D-FISI-19                         
446;15200241;22;TO ;RD 126-D-FISI-19                        
447;11200168;22;TO ;RD 126-D-FISI-19                        
448;17200310;22;TO ;RD 126-D-FISI19                         
449;16200248;22;TO ;RD 126-D-FISI-19                        
450;16200248;22;TO ;RD 126-D-FISI-19                        
451;13200071;22;TO ;RD 126-D-FISI-19                        
452;12200058;22;TO ;RD 126-D-FISI-19                        
453;12200058;22;TO ;RD 126-D-FISI-19                        
454;16200065;22;TO ;RD 139-D-FISI-19                        
455;16200093;22;TO ;RD 139-D-FISI-19                        
456;16200203;22;TO ;RD 139-D-FISI-19                        
457;11200129;22;TO ;RD 139-D-FISI-19                        
458;11200129;22;TO ;RD 139-D-FISI-19                        
459;13200209;22;TO ;RD 139-D-FISI-2019                      
460;10200215;22;TO ;RD 139-D-FISI-19                        
461;16200209;22;TO ;RD 139-D-FISI-19                        
462;16200209;22;TO ;RD 139-D-FISI-19                        
463;16200209;22;TO ;RD 139-D-FISI-19                        
464;16200209;22;TO ;RD 139-D-FISI-19                        
465;13200213;22;TO ;RD 139-D-FISI-19                        
466;15200204;22;TO ;RD 139-D-FISI-19                        
467;16200217;22;TO ;RD 139-D-FISI-19                        
468;16200217;22;TO ;RD 139-D-FISI-19                        
469;16200217;22;TO ;RD 139-D-FISI-19                        
470;14200047;22;TO ;RD 139-D-FISI-19                        
471;14200047;22;TO ;RD 139-D-FISI-19                        
472;17200092;22;TO ;RD 139-D-FISI-19                        
473;17200092;22;TO ;RD 139-D-FISI-19                        
474;17200092;22;TO ;RD 139-D-FISI-19                        
475;14200049;22;TO ;RD 139-D-FISI-19                        
476;11200214;22;TO ;RD 139-D-FISI-19                        
477;11200158;22;TO ;RD 139-D-FISI-19                        
478;10200071;22;TO ;RD139-D-FISI-19                         
479;11200164;22;TO ;RD 139-D-FISI-19                        
480;11200164;22;TO ;RD 139-D-FISI-19                        
481;16200237;22;TO ;RD 139-D-FISI-19                        
482;11200129;22;TO ;RD 139-D-FISI-19                        
483;17200084;22;TO ;RD 139-D-FISI-19                        
484;16200081;22;TO ;RD 139-D-FISI-19                        
485;16200081;22;TO ;RD 139-D-FISI-19                        
486;11200168;22;TO ;RD 139-D-FISI-19                        
487;12200070;22;TO ;RD 139-D-FISI-19                        
488;12200070;22;TO ;RD 139-D-FISI-2019                      
489;12200070;22;TO ;RD 139-D-FISI-2019                      
490;12200070;22;TO ;RD 139-D-FISI-2019                      
491;16200250;22;TO ;RD 139-D-FISI-19                        
492;15200248;22;TO ;RD 165-D-FISI-19                        
493;15200248;22;TO ;RD 165-D-FISI-19                        
