id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
190.0;17200054.0;2.0;TO ;RD 138-D-FISI-19
191.0;16200121.0;2.0;TO ;RD 138-D-FISI-19
192.0;16200121.0;2.0;TO ;RD 138-D-FISI-19
193.0;16200121.0;2.0;TO ;RD 138-D-FISI-19
194.0;15200181.0;2.0;TO ;RD 138-D-FISI-19
195.0;15200181.0;2.0;TO ;RD 138-D-FISI-19
196.0;17200160.0;2.0;TO ;RD 138-D-FISI-19
197.0;17200160.0;2.0;TO ;RD 138-D-FISI-19
198.0;15200023.0;2.0;TO ;RD 138-D-FISI-19
199.0;16200021.0;2.0;TO ;RD 138-D-FISI-19
200.0;16200134.0;2.0;TO ;RD 138-D-FISI-19
201.0;17200175.0;2.0;TO ;RD 138-D-FISI-19
202.0;13200073.0;2.0;TO ;RD 138-D-FISI-19
203.0;13200073.0;2.0;TO ;RD 138-D-FISI-19
204.0;16200199.0;2.0;TO ;RD 138-D-FISI-19
205.0;12200109.0;2.0;TO ;RD 138-D-FISI-19
206.0;10200120.0;2.0;TO ;RD 138-D-FISI-19
207.0;16200048.0;2.0;TO ;RD 138-D-FISI-19
208.0;17200024.0;2.0;TO ;RD 138-D-FISI-19
209.0;17200024.0;2.0;TO ;RD 138-D-FISI-19
210.0;17200024.0;2.0;TO ;RD 138-D-FISI-19
211.0;12200112.0;2.0;TO ;RD 138-D-FISI-19
212.0;16200153.0;2.0;TO ;RD 138-D-FISI-19
213.0;17200202.0;2.0;TO ;RD 138-D-FISI-19
214.0;14200114.0;2.0;TO ;RD 138-D-FISI-19
215.0;14200114.0;2.0;TO ;RD 138-D-FISI-19
216.0;14200114.0;2.0;TO ;RD 138-D-FISI-19
217.0;16200032.0;2.0;TO ;RD 138-D-FISI-19
218.0;16200032.0;2.0;TO ;RD 138-D-FISI-19
219.0;11200045.0;2.0;AM ;RD 126-D-FISI-19
220.0;15200048.0;2.0;AM ;RD 126-D-FISI-19
221.0;17200051.0;2.0;TO ;RD 164-D-FISI-19
222.0;16200004.0;2.0;TO ;RD 164-D-FISI-19
223.0;11200004.0;2.0;TO ;RD 164-D-FISI-19
224.0;11200061.0;2.0;TO ;RD 164-D-FISI-19
225.0;11200061.0;2.0;TO ;RD 164-D-FISI-19
226.0;13200151.0;2.0;TO ;RD 164-D-FISI-19
227.0;13200151.0;2.0;TO ;RD 164-D-FISI-19
228.0;16200120.0;2.0;TO ;RD 164-D-FISI-19
229.0;16200017.0;2.0;TO ;RD 164-D-FISI-19
230.0;16200017.0;2.0;TO ;RD 164-D-FISI-19
231.0;13200179.0;2.0;TO ;RD 164-D-FISI-19
232.0;15200148.0;2.0;TO ;RD 164-D-FISI-19
233.0;13200030.0;2.0;TO ;RD 164-D-FISI-19
234.0;15200136.0;2.0;TO ;RD 164-D-FISI-19
235.0;15200136.0;2.0;TO ;RD 164-D-FISI-19
236.0;9200132.0;2.0;TO ;RD 164-D-FISI-19
237.0;12200171.0;2.0;TO ;RD 164-D-FISI-19
238.0;13200104.0;2.0;TO ;RD 174-D-FISI-19
239.0;17200038.0;2.0;TO ;RD 164-D-FISI-19
240.0;17200038.0;2.0;TO ;RD 164-D-FISI-19
241.0;12200129.0;2.0;TO ;RD 164-D-FISI-19
242.0;9200005.0;2.0;TO ;RD 174-D-FISI-19
243.0;9200013.0;2.0;TO ;RD 174-D-FISI-19
244.0;9200013.0;2.0;TO ;RD 174-D-FISI-19
245.0;9200013.0;2.0;TO ;RD 174-D-FISI-19
246.0;15200115.0;2.0;TO ;RD 174-D-FISI-19
247.0;15200115.0;2.0;TO ;RD 174-D-FISI-19
248.0;15200115.0;2.0;TO ;RD 174-D-FISI-19
249.0;8160007.0;2.0;TO ;RD 174-D-FISI-19
250.0;8160007.0;2.0;TO ;RD 174-D-FISI-19
251.0;8160007.0;2.0;TO ;RD 174-D-FISI-19
252.0;15200097.0;2.0;AM ;RD 126-D-FISI-19
253.0;12200071.0;2.0;AM ;RD 126-D-FISI-19
254.0;14200002.0;2.0;AM ;RD 126-D-FISI-19
255.0;14200002.0;2.0;AM ;RD 126-D-FISI-19
256.0;9200002.0;2.0;AM ;RD 126-D-FISI-19
257.0;11200045.0;2.0;AM ;RD 126-D-FISI-19
258.0;10200073.0;2.0;AM ;RD 126-D-FISI-19
259.0;16200105.0;2.0;AM ;RD 126-D-FISI-19
260.0;17200071.0;2.0;AM ;RD 126-D-FISI-19
261.0;17200071.0;2.0;AM ;RD 126-D-FISI-19
262.0;17200071.0;2.0;AM ;RD 126-D-FISI-19
263.0;14200066.0;2.0;AM ;RD 126-D-FISI-19
264.0;14200066.0;2.0;AM ;RD 126-D-FISI-19
265.0;17200136.0;2.0;AM ;RD 126-D-FISI-19
266.0;15200006.0;2.0;AM ;RD 126-D-FISI-19
267.0;15200006.0;2.0;AM ;RD 126-D-FISI-19
268.0;15200006.0;2.0;AM ;RD 126-D-FISI-19
269.0;13200093.0;2.0;AM ;RD 126-D-FISI-19
270.0;13200093.0;2.0;AM ;RD 126-D-FISI-19
271.0;13200138.0;2.0;AM ;RD 126-D-FISI-19
272.0;14200007.0;2.0;AM ;RD 126-D-FISI-19
273.0;14200007.0;2.0;AM ;RD 126-D-FISI-19
274.0;9200187.0;2.0;AM ;RD 126-D-FISI-19
275.0;9200187.0;2.0;AM ;RD 126-D-FISI-19
276.0;16200006.0;2.0;AM ;RD 126-D-FISI-19
277.0;12200145.0;2.0;AM ;RD 126-D-FISI-19
278.0;12200145.0;2.0;AM ;RD 126-D-FISI-19
279.0;12200145.0;2.0;AM ;RD 126-D-FISI-19
280.0;17200042.0;2.0;AM ;RD 126-D-FISI-19
281.0;16200170.0;2.0;AM ;RD 126-D-FISI-19
282.0;10200084.0;2.0;AM ;RD 126-D-FISI-19
283.0;9200193.0;2.0;AM ;RD 126-D-FISI-19
284.0;14200128.0;2.0;AM ;RD 126-D-FISI-19
285.0;14200073.0;2.0;AM ;RD 126-D-FISI-19
286.0;17200019.0;2.0;AM ;RD 126-D-FISI-19
287.0;16200112.0;2.0;AM ;RD 126-D-FISI-19
288.0;15200048.0;2.0;AM ;RD 126-D-FISI-19
289.0;12200079.0;2.0;AM ;RD 126-D-FISI-19
290.0;12200079.0;2.0;AM ;RD 126-D-FISI-19
291.0;12200079.0;2.0;AM ;RD 126-D-FISI-19
292.0;15200012.0;2.0;AM ;RD 126-D-FISI-19
293.0;10200088.0;2.0;AM ;RD 126-D-FISI-19
294.0;13200149.0;2.0;AM ;RD 126-D-FISI-19
295.0;14200130.0;2.0;TO ;RD 126-D-FISI-19
296.0;15200164.0;2.0;AM ;RD 126-D-FISI-19
297.0;17200069.0;2.0;TO ;RD 126-D-FISI-19
298.0;13200082.0;2.0;TO ;RD 174-D-FISI-19
