id_estudiante;id_curso;n_reprobaciones;id_semestre
00115103;206001  ;2;2
00115103;207007  ;2;2
00115103;208007  ;2;2
08200009;208007  ;2;2
02200002;201203M ;1;2
08200187;202001  ;3;2
02200002;205006  ;5;2
02200002;206008  ;1;2
02200002;207003  ;2;2
02200002;207007  ;1;2
02200002;207008  ;1;2
08200081;201203M ;8;2
07200031;208008  ;4;2
08200213;201104  ;2;2
08200081;204004  ;1;2
08200081;204006  ;2;2
08200081;204007  ;1;2
08200213;201105  ;2;2
08200081;206011  ;5;2
08200081;207010  ;1;2
05200046;203001  ;2;2
05200046;205006  ;2;2
05200046;205010  ;1;2
08200182;206008  ;2;2
08200056;201101  ;2;2
05200161;201105  ;2;2
04200115;201203M ;2;2
07200186;201210  ;1;2
00110574;202009  ;2;2
00110574;206008  ;3;2
00110574;207008  ;1;2
08200056;209007  ;2;2
00110574;207010  ;3;2
04200115;208009  ;1;2
04200115;209003  ;2;2
04200115;209005M ;1;2
04200115;209006  ;1;2
00110574;208003  ;1;2
07200186;205006  ;3;2
04200015;207002  ;4;2
04200015;207007  ;2;2
03200028;201203M ;1;2
05200003;204004  ;2;2
05200003;206008  ;6;2
03200028;206008  ;3;2
05200003;208007  ;1;2
03200028;208010  ;1;2
07200122;201101  ;1;2
07200122;201103  ;1;2
08200045;201103  ;1;2
08200169;201207  ;1;2
07200121;201105  ;2;2
02200045;201210  ;1;2
06200206;201103  ;1;2
942004  ;201205  ;1;2
05200117;208001  ;1;2
05200117;208009  ;1;2
973021  ;203008  ;1;2
973021  ;206008  ;3;2
973021  ;206010  ;3;2
973021  ;206011  ;4;2
16200001;2010504 ;2;2
16200199;2010304 ;3;2
16200199;2010601 ;1;2
13200104;201101  ;1;2
17200197;2010404 ;2;2
17200199;2010302 ;3;2
17200199;2010303 ;2;2
14200111;2010505 ;2;2
14200111;2010601 ;1;2
14200111;2010606 ;1;2
14200111;2010607 ;1;2
14200111;2010801 ;1;2
14200111;2011115 ;1;2
17200199;2010405 ;1;2
13200104;208008  ;3;2
17200199;2010503 ;1;2
17200042;2010204 ;2;2
14200073;2010607 ;2;2
14200073;2010704 ;2;2
16200111;2010503 ;2;2
12200030;201204  ;1;2
12200030;207010  ;2;2
13200087;201203M ;2;2
13200087;208003  ;1;2
13200087;208008  ;1;2
13200087;208010  ;1;2
14200084;2010303 ;2;2
14200084;2010305 ;2;2
14200084;2010306 ;1;2
14200084;2010503 ;1;2
14200084;2010706 ;2;2
15200022;2010504 ;2;2
11200189;204006  ;1;2
15200145;2010303 ;2;2
15200145;2010304 ;1;2
15200145;2010305 ;1;2
11200189;205009  ;6;2
15200145;2010401 ;1;2
15200145;2010402 ;1;2
11200189;206009  ;1;2
16200183;2010603 ;1;2
14200066;2010402 ;1;2
14200066;2010503 ;5;2
14200066;2010506 ;5;2
14200066;2010601 ;1;2
14200066;2010607 ;1;2
14200066;2010804 ;1;2
14200066;2010805 ;1;2
18200241;2010503 ;1;2
18200241;2010104 ;2;2
18200241;2010203 ;1;2
15200109;2010401 ;2;2
15200109;2010405 ;1;2
15200109;2010504 ;1;2
16200113;2010405 ;2;2
16200113;2010502 ;2;2
16200113;2010503 ;2;2
16200113;2010505 ;2;2
16200113;2010506 ;2;2
16200198;2010607 ;2;2
16200198;2010701 ;1;2
16200121;2010204 ;3;2
16200121;2010205 ;1;2
16200121;2010206 ;2;2
15200006;2010304 ;5;2
15200006;2010305 ;5;2
13200098;201211  ;1;2
17200190;2010303 ;2;2
15200006;2010405 ;1;2
15200006;2010501 ;2;2
15200006;2010503 ;2;2
13200098;207002  ;1;2
13200098;207010  ;3;2
13200098;208008  ;1;2
15200006;2010602 ;1;2
17200142;2010203 ;2;2
14200128;2010302 ;5;2
17200038;2010306 ;3;2
14200114;2010605 ;1;2
17200038;2010402 ;2;2
14200114;2010706 ;2;2
14200114;2010707 ;2;2
15200012;2010505 ;3;2
14200114;2010806 ;3;2
14200114;2010905 ;1;2
16200163;2010501 ;1;2
15200012;2010805 ;1;2
14200128;2010503 ;2;2
14200128;2010504 ;1;2
14200128;2010507 ;1;2
14200128;2010601 ;1;2
14200128;2010603 ;1;2
16200163;2010503 ;2;2
16200163;2010507 ;1;2
16200163;2010606 ;1;2
14200030;2010601 ;1;2
14200014;2010802 ;1;2
14200014;2010805 ;2;2
14200014;2011110 ;1;2
14200030;2010707 ;2;2
14200030;2010804 ;1;2
10200185;201101  ;2;2
10200185;208009  ;1;2
17200162;2010203 ;2;2
17200069;2010306 ;3;2
17200069;2010401 ;1;2
17200069;2010402 ;1;2
17200069;2010404 ;1;2
17200069;2010503 ;1;2
11200079;201211  ;1;2
16200126;2010504 ;2;2
17200162;2010304 ;1;2
17200055;2010402 ;1;2
17200055;2010404 ;2;2
17200230;2010303 ;2;2
14200087;2010405 ;1;2
14200087;2010501 ;1;2
14200087;2010502 ;2;2
17200230;2010304 ;2;2
14200137;2010505 ;2;2
14200137;2010601 ;1;2
