id_estudiante;id_escuela;id_plan;anio_ingreso
20200181;1;3;20
17200164;1;2;17
20200228;1;3;20
21200045;1;3;21
21200083;1;3;21
24200178;2;8;24
22200022;1;3;22
23200030;1;3;23
25200100;1;3;25
23200330;2;7;23
21200172;1;3;21
25200101;1;3;25
19200024;1;3;19
19200324;2;7;19
25200102;1;3;25
24200107;1;3;24
20200269;2;7;20
25200068;3;9;25
22200023;1;3;22
23200031;1;3;23
23200032;1;3;23
21200276;2;7;21
17200051;1;2;17
19200025;1;3;19
24200224;2;8;24
24200108;1;3;24
25200216;3;9;25
20200043;1;3;20
21200040;1;3;21
22200087;2;7;22
22200288;2;7;22
18200031;1;2;18
23200033;1;3;23
20200030;2;7;20
21200097;1;3;21
20200103;1;3;20
23200183;1;3;23
24200218;1;3;24
24200109;1;3;24
17200165;1;2;17
24200110;1;3;24
24200228;1;3;24
23200268;2;7;23
25200050;2;8;25
22200024;1;3;22
25200194;3;9;25
21200092;1;3;21
21200122;1;3;21
24200019;1;3;24
25200017;1;3;25
19200027;1;3;19
19200316;2;7;19
21200079;1;3;21
20200183;1;3;20
22200249;2;7;22
22200266;2;7;22
21200295;2;7;21
18200062;1;2;18
19200196;1;3;19
21200224;2;7;21
24200225;2;8;24
23200034;1;3;23
25200195;3;9;25
22200089;2;7;22
25200196;3;9;25
22200025;1;3;22
24200179;2;8;24
23200318;2;7;23
21200140;1;3;21
21200263;2;7;21
22200222;1;3;22
22200260;2;7;22
21200124;1;3;21
20200184;1;3;20
24200020;1;3;24
25200137;1;3;25
20200270;2;7;20
21200288;2;7;21
23200103;2;7;23
24200163;2;8;24
20200271;2;7;20
20200013;2;7;20
18200085;2;6;18
21200009;1;3;21
25200018;1;3;25
22200287;2;7;22
21200261;2;7;21
21200274;2;7;21
21200273;2;7;21
18200032;1;2;18
22200151;1;3;22
21200232;2;7;21
20200272;2;7;20
20200185;1;3;20
23200184;1;3;23
22200248;2;7;22
22200026;1;3;22
16200178;1;2;16
22200127;1;3;22
23200269;2;7;23
25200069;3;9;25
23200270;2;7;23
21200074;1;3;21
21200044;1;3;21
20200020;2;7;20
21200293;2;7;21
23200104;2;7;23
24200164;2;8;24
24200165;2;8;24
24200075;3;9;24
22200277;2;7;22
22200322;2;7;22
18200221;1;2;18
12200057;2;5;12
24200185;2;8;24
21200035;1;3;21
12200058;2;5;12
21200265;2;7;21
25200019;1;3;25
23200271;2;7;23
21200128;1;3;21
