cod_escuela;cod_semestre;cod_alumno;cod_plan;cod_asignatura;num_rep
1;20191;17200055;2014  ;2010404 ;2
1;20191;17200230;2014  ;2010303 ;2
1;20191;14200087;2014  ;2010405 ;1
1;20191;14200087;2014  ;2010501 ;1
1;20191;14200087;2014  ;2010502 ;2
1;20191;17200230;2014  ;2010304 ;2
1;20191;14200137;2014  ;2010505 ;2
1;20191;14200137;2014  ;2010601 ;1
1;20191;14200137;2014  ;2010707 ;1
1;20191;14200137;2014  ;2010807 ;1
1;20191;11200079;2009  ;205006  ;2
1;20191;17200230;2014  ;2010305 ;1
1;20191;14200089;2014  ;2010303 ;1
1;20191;11200079;2009  ;209007  ;2
1;20191;14200089;2014  ;2010304 ;2
1;20191;14200089;2014  ;2010306 ;1
1;20191;14200089;2014  ;2011115 ;1
1;20191;16200021;2014  ;2010204 ;2
1;20191;13200080;2009  ;201210  ;1
1;20191;16200021;2014  ;2010302 ;5
1;20191;16200021;2014  ;2010401 ;2
1;20191;16200021;2014  ;2010405 ;1
1;20191;16200021;2014  ;2010503 ;1
1;20191;14200092;2014  ;2010604 ;2
1;20191;14200092;2014  ;2010704 ;1
1;20191;14200092;2014  ;2010802 ;1
1;20191;13200041;2009  ;201101  ;1
1;20191;13200080;2009  ;205006  ;2
1;20191;12200129;2009  ;201101  ;2
1;20191;13200041;2009  ;207002  ;3
1;20191;15200041;2014  ;2010604 ;2
1;20191;13200080;2009  ;206011  ;1
1;20191;13200041;2009  ;208008  ;3
1;20191;17200243;2014  ;2010303 ;2
1;20191;12200129;2009  ;201106  ;1
1;20191;13200080;2009  ;208008  ;1
1;20191;17200214;2014  ;2010303 ;2
1;20191;17200243;2014  ;2010402 ;1
1;20191;17200243;2014  ;2010406 ;1
1;20191;16200037;2014  ;2010304 ;2
1;20191;17200214;2014  ;2010401 ;2
1;20191;16200037;2014  ;2010404 ;1
1;20191;16200037;2014  ;2010405 ;1
1;20191;16200037;2014  ;2010406 ;1
1;20191;16200037;2014  ;2010501 ;1
1;20191;16200037;2014  ;2011115 ;1
1;20191;12200129;2009  ;209007  ;3
1;20191;17200051;2014  ;2010203 ;3
1;20191;17200051;2014  ;2010204 ;2
1;20191;17200051;2014  ;2010205 ;1
1;20191;17200051;2014  ;2010401 ;1
1;20191;17200051;2014  ;2011115 ;1
1;20191;14200159;2014  ;2010705 ;2
1;20191;14200159;2014  ;2010805 ;2
1;20191;14200159;2014  ;2011116 ;1
1;20191;17200237;2014  ;2010205 ;3
1;20191;17200237;2014  ;2010304 ;1
1;20191;17200237;2014  ;2010306 ;2
1;20191;17200183;2014  ;2010302 ;1
1;20191;17200183;2014  ;2010305 ;2
1;20191;16200137;2014  ;2010402 ;1
1;20191;16200137;2014  ;2010405 ;1
1;20191;16200137;2014  ;2010406 ;2
1;20191;16200136;2014  ;2010402 ;2
1;20191;16200137;2014  ;2010501 ;1
1;20191;15200131;2014  ;2010405 ;3
1;20191;16200136;2014  ;2010405 ;1
1;20191;15200131;2014  ;2010505 ;1
1;20191;15200131;2014  ;2010506 ;1
1;20191;15200131;2014  ;2010603 ;1
1;20191;15200131;2014  ;2010703 ;1
1;20191;16200136;2014  ;2010503 ;2
1;20191;16200137;2014  ;2011113 ;1
1;20191;14200104;2014  ;2010501 ;3
1;20191;16200151;2014  ;2010402 ;2
1;20191;16200151;2014  ;2010405 ;2
1;20191;16200151;2014  ;2010406 ;1
1;20191;16200151;2014  ;2011113 ;1
1;20191;12200014;2009  ;209007  ;2
1;20191;09200001;2009  ;201101  ;1
1;20191;16200143;2014  ;2010405 ;2
1;20191;16200149;2014  ;2010204 ;4
1;20191;16200143;2014  ;2010504 ;2
1;20191;16200143;2014  ;2010601 ;1
1;20191;16200143;2014  ;2010604 ;1
1;20191;16200143;2014  ;2010606 ;1
1;20191;14200002;2014  ;2010303 ;4
1;20191;16200149;2014  ;2010302 ;1
1;20191;16200149;2014  ;2010305 ;1
1;20191;15200033;2014  ;2010601 ;1
1;20191;16200149;2014  ;2011115 ;1
1;20191;15200033;2014  ;2010607 ;2
1;20191;15200033;2014  ;2010701 ;1
1;20191;14200109;2014  ;2010302 ;3
1;20191;14200109;2014  ;2010303 ;1
1;20191;14200109;2014  ;2010304 ;1
1;20191;14200109;2014  ;2010305 ;3
