id_ct;id_estudiante;id_curso;id_semestre;nota;id_ciclo
144412;9200211;201211;2;10;1
144413;11200079;201211;2;10;1
144414;11200083;201211;2;8;1
144415;13200158;201211;2;9;1
144416;9200132;202001;2;2;3
144417;13200038;202001;2;0;3
144418;11200054;202001;2;11;3
144419;12200109;202003;2;11;3
144420;11200098;202003;2;9;3
144421;11200193;202004;2;13;3
144422;13200038;202004;2;0;3
144423;11200076;202007;2;11;3
144424;12200109;202008;2;12;3
144425;13200038;202008;2;0;3
144426;11200193;203001;2;12;4
144427;9200187;203001;2;0;4
144428;11200054;203004;2;0;4
144429;13200172;203004;2;10;4
144430;13200038;203005;2;4;4
144431;9200187;203005;2;0;4
144432;11200054;203005;2;11;4
144433;13200038;203007;2;0;4
144434;10200238;204001;2;13;5
144435;11200069;204001;2;13;5
144436;13200093;204001;2;0;5
144437;12200071;204001;2;15;5
144438;9200013;204001;2;13;5
144439;15200191;204001;2;13;5
144440;9200013;204002;2;11;5
144441;11200080;204002;2;11;5
144442;15200191;204002;2;5;5
144443;9200013;204004;2;8;5
144444;13200038;204004;2;0;5
144445;11200054;204004;2;0;5
144446;12200109;204008;2;14;5
144447;9200016;205001;2;14;6
144448;12200177;205001;2;11;6
144449;10200133;205001;2;10;6
144450;11200080;205001;2;9;6
144451;10200084;205006;2;4;6
144452;11200076;205006;2;3;6
144453;13200080;205006;2;0;6
144454;9200187;205006;2;0;6
144455;11200069;205006;2;10;6
144456;13200134;205006;2;14;6
144457;11200079;205006;2;1;6
144458;12200098;205006;2;13;6
144459;13200093;205006;2;0;6
144460;12200021;205006;2;0;6
144461;11200063;205007;2;11;6
144462;12200097;205007;2;0;6
144463;12200112;205007;2;6;6
144464;13200093;205007;2;4;6
144465;12200021;205007;2;8;6
144466;10200238;205008;2;0;6
144467;11200045;205008;2;11;6
144468;12200097;205009;2;0;6
144469;9200013;205009;2;6;6
144470;11200080;205009;2;7;6
144471;11200189;205009;2;0;6
144472;10200238;205009;2;0;6
144473;15200191;205009;2;2;6
144474;11200063;206001;2;14;7
144475;12200021;206001;2;0;7
144476;9200002;206001;2;11;7
144477;11200069;206001;2;9;7
144478;10200133;206001;2;12;7
144479;11200018;206001;2;13;7
144480;13200166;206001;2;6;7
144481;12200171;206007;2;4;7
144482;13200172;206007;2;0;7
144483;11200045;206007;2;11;7
144484;11200076;206007;2;2;7
144485;10200203;206007;2;11;7
144486;11200099;206007;2;12;7
144487;12200030;206007;2;12;7
144488;13200073;206007;2;3;7
144489;12200071;206008;2;0;7
144490;13200073;206008;2;0;7
144491;11200189;206009;2;2;7
144492;13200073;206009;2;0;7
144493;11200099;206009;2;12;7
144494;9200002;206009;2;13;7
144495;12200030;206010;2;14;7
144496;12200177;206010;2;13;7
144497;11200099;206010;2;12;7
144498;10200150;206010;2;0;7
144499;9200002;206010;2;12;7
144500;12200097;206010;2;0;7
144501;15200191;206010;2;12;7
144502;12200030;206011;2;11;7
144503;13200080;206011;2;9;7
144504;12200135;207002;2;13;8
144505;9200016;207002;2;15;8
144506;13200098;207002;2;2;8
144507;9200211;207002;2;11;8
144508;10200150;207003;2;0;8
144509;13200159;207003;2;9;8
144510;9200002;207003;2;10;8
144511;9200082;207003;2;12;8
144512;13200088;207003;2;5;8
144513;11200018;207003;2;11;8
144514;13200088;207007;2;12;8
144515;11200018;207007;2;11;8
144516;10200150;207007;2;0;8
144517;13200168;207007;2;12;8
144518;9200082;207007;2;13;8
144519;12200116;207007;2;11;8
144520;13200159;207007;2;14;8
144521;9200002;207007;2;12;8
144522;11200045;207008;2;11;8
144523;11200069;207008;2;12;8
144524;10200133;207008;2;6;8
144525;13200073;207008;2;2;8
144526;12200071;207008;2;11;8
